Season,Team,Lge,GP,G,A,Pts,PIM,+/-,GP_playoffs,G_playoffs,A_playoffs,Pts_playoffs,PIM_playoffs,player_name,position,Min,GA,EN,SO,GAA,W,L,T,Svs,Pct,TRUE
2010-11,Tampa Bay Lightning,NHL,65,25,29,54,43,-5,18,6,13,19,16,Vincent Lecavalier,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Tampa Bay Lightning,NHL,64,22,27,49,50,-2,--,--,--,--,--,Vincent Lecavalier,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Tampa Bay Lightning,NHL,39,10,22,32,29,-5,--,--,--,--,--,Vincent Lecavalier,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Philadelphia Flyers,NHL,69,20,17,37,44,-16,7,1,1,2,2,Vincent Lecavalier,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Philadelphia Flyers,NHL,57,8,12,20,36,-7,--,--,--,--,--,Vincent Lecavalier,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,Philadelphia Flyers,NHL,7,0,1,1,2,-1,--,--,--,--,--,Vincent Lecavalier,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,Los Angeles Kings,NHL,42,10,7,17,20,1,5,1,1,2,2,Vincent Lecavalier,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Compuware Ambassadors,"NAHL",44,21,41,62,58,--,,,,,,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Plymouth Whalers,OHL,59,54,51,105,56,--,15,8,12,20,24,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Plymouth Whalers,OHL,55,31,49,80,65,32,11,3,8,11,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Nashville Predators,NHL,1,0,0,0,0,0,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Nashville Predators,NHL,71,13,15,28,30,-6,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Nashville Predators,NHL,81,13,28,41,38,1,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Nashville Predators,NHL,63,11,19,30,54,1,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Nashville Predators,NHL,64,17,31,48,34,-2,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Nashville Predators,NHL,82,18,29,47,46,9,6,1,0,1,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Basel EHC,Swiss-B,3,6,2,8,2,--,,,,,,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Nashville Predators,NHL,44,7,19,26,34,3,5,0,1,1,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Milwaukee Admirals,AHL,3,0,0,0,0,-1,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Nashville Predators,NHL,78,27,36,63,44,23,5,0,3,3,2,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Nashville Predators,NHL,65,15,29,44,38,-4,3,1,0,1,2,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Nashville Predators,NHL,73,20,22,42,32,-3,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Nashville Predators,NHL,82,11,27,38,24,-5,6,2,5,7,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Nashville Predators,NHL,64,17,24,41,24,13,12,6,3,9,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Nashville Predators,NHL,78,19,34,53,26,3,10,3,3,6,10,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Nashville Predators,NHL,48,12,13,25,20,-6,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Nashville Predators,NHL,62,10,30,40,30,-8,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Detroit Red Wings,NHL,21,4,7,11,31,-9,5,0,0,0,0,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Ottawa Senators,NHL,80,9,18,27,32,1,3,0,0,0,0,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,Buffalo Sabres,NHL,79,5,9,14,14,-4,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-96,Regina Pats,WHL,3,0,0,0,0,--,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Regina Pats,WHL,57,7,36,43,58,--,5,0,4,4,14,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Regina Pats,WHL,72,20,45,65,82,--,9,3,4,7,10,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Calgary Hitmen,WHL,30,11,22,33,26,22,21,8,15,23,59,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Regina Pats,WHL,29,10,19,29,43,-7,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,San Jose Sharks,NHL,82,10,26,36,32,3,12,1,0,1,6,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,San Jose Sharks,NHL,77,5,18,23,56,10,5,1,0,1,0,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,San Jose Sharks,NHL,82,6,23,29,39,13,12,0,3,3,8,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,San Jose Sharks,NHL,36,4,10,14,46,-6,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,San Jose Sharks,NHL,77,9,30,39,34,9,17,1,5,6,13,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,San Jose Sharks,NHL,23,2,10,12,14,-2,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Boston Bruins,NHL,55,10,21,31,38,-6,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Boston Bruins,NHL,48,7,10,17,26,-22,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Calgary Flames,NHL,27,0,5,5,18,12,6,0,1,1,6,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Los Angeles Kings,NHL,63,5,16,21,67,-16,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Detroit Red Wings,NHL,9,1,1,2,2,6,21,1,6,7,14,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Detroit Red Wings,NHL,67,2,13,15,26,-3,23,3,6,9,12,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Detroit Red Wings,NHL,82,4,16,20,22,-12,12,2,4,6,8,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Detroit Red Wings,NHL,67,3,17,20,40,4,11,0,2,2,8,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Detroit Red Wings,NHL,81,6,15,21,29,16,5,0,1,1,0,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,San Jose Sharks,NHL,48,0,6,6,25,4,11,1,2,3,2,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,San Jose Sharks,NHL,61,3,8,11,35,4,7,0,0,0,0,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Colorado Avalanche,NHL,65,3,10,13,16,-4,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,Colorado Avalanche,NHL,6,0,0,0,0,-2,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-96,Calgary Hitmen,WHL,6,0,0,0,0,--,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Calgary Hitmen,WHL,62,11,19,30,39,--,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Calgary Hitmen,WHL,68,22,29,51,31,--,18,2,4,6,10,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Calgary Hitmen,WHL,70,22,24,46,45,17,21,11,5,16,28,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Calgary Hitmen,WHL,62,38,31,69,86,35,13,14,9,23,20,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Syracuse Crunch,AHL,47,10,11,21,24,-8,5,2,2,4,4,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Columbus Blue Jackets,NHL,29,4,5,9,4,4,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Columbus Blue Jackets,NHL,23,2,3,5,4,-3,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Syracuse Crunch,AHL,47,12,12,24,18,-2,10,2,2,4,2,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Syracuse Crunch,AHL,19,1,3,4,8,-1,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Chicago Wolves,AHL,18,3,4,7,4,2,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Manitoba Moose,AHL,33,3,10,13,13,2,14,1,2,3,16,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Manitoba Moose,AHL,72,4,7,11,21,-1,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Laredo Bucks,CHL,7,0,4,4,4,-1,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,San Antonio Rampage,AHL,54,8,8,16,20,-8,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Kassel Huskies,DEL,38,4,11,15,32,-25,--,--,--,--,--,Chris Nielsen,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Farjestads BK Karlstad,SEL,1,0,0,0,0,--,--,--,--,--,--,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Troja/Ljungby IF,Swe-1,3,1,0,1,2,--,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Farjestads BK Karlstad,SEL,37,2,4,6,37,4,4,1,0,1,4,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Farjestads BK Karlstad,SEL,43,8,6,14,44,8,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Farjestads Jr.,Swe-Jr,5,3,5,8,8,0,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Farjestads BK Karlstad,SEL,49,17,20,37,142,21,16,7,7,14,22,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,New Jersey Devils,NHL,15,2,7,9,8,-3,3,0,0,0,2,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Albany River Rats,AHL,60,21,26,47,69,-16,--,--,--,--,--,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,New Jersey Devils,NHL,38,4,5,9,20,3,--,--,--,--,--,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Albany River Rats,AHL,26,6,14,20,57,7,--,--,--,--,--,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,New Jersey Devils,NHL,23,2,3,5,4,-4,--,--,--,--,--,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Florida Panthers,NHL,10,3,1,4,10,-2,--,--,--,--,--,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Farjestads BK Karlstad,SEL,48,7,13,20,97,-5,14,2,3,5,56,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Rapperswil-Jona,Swiss-A,44,24,20,44,124,--,11,4,8,12,63,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Bern SC,Swiss-A,42,17,25,42,97,--,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Bern SC,Swiss-A,48,13,32,45,80,--,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Rapperswil-Jona,Swiss-A,49,22,25,47,80,-24,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Rapperswil-Jona,Swiss-A,43,23,21,44,75,5,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Farjestads BK Karlstad,SEL,51,17,15,32,68,0,11,2,6,8,2,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Farjestads BK Karlstad,SEL,53,16,11,27,61,9,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Farjestads BK Karlstad,SEL,51,15,22,37,103,15,10,2,1,3,10,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Farjestads BK Karlstad,SweHL,38,8,10,18,77,2,15,1,1,2,57,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Bofors IK,Swe-1,43,9,12,21,26,-2,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,Bofors IK,Swe-1,46,12,8,20,53,-9,,,,,,Christian Berglund,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Rimouski Oceanic,QMJHL,26,NA,0,NA,22,NA,4,NA,0,NA,0,Philippe Sauve,Goalie,1332,84,0,0,3.78,11,9,2,,,NA
1997-98,Rimouski Oceanic,QMJHL,40,NA,2,NA,21,NA,19,NA,0,NA,0,Philippe Sauve,Goalie,2326,131,0,1,3.38,23,16,0,1167,0.899,NA
1998-99,Rimouski Oceanic,QMJHL,44,NA,1,NA,13,NA,11,NA,0,NA,4,Philippe Sauve,Goalie,2404,155,0,0,3.87,16,19,4,1276,0.892,NA
1999-00,Drummondville Voltigeurs,QMJHL,28,NA,0,NA,0,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,1525,106,0,0,4.17,12,12,2,782,0.864,NA
1999-00,Hull Olympiques,QMJHL,17,NA,0,NA,23,NA,15,NA,0,NA,0,Philippe Sauve,Goalie,992,57,0,0,3.45,9,7,1,589,0.903,NA
2000-01,Hershey Bears,AHL,42,NA,1,NA,17,NA,3,NA,0,NA,2,Philippe Sauve,Goalie,2182,100,7,3,2.75,17,18,1,1063,0.914,NA
2001-02,Hershey Bears,AHL,55,NA,0,NA,34,NA,8,NA,0,NA,6,Philippe Sauve,Goalie,3130,111,5,6,2.13,25,20,6,1426,0.928,NA
2002-03,Hershey Bears,AHL,60,NA,3,NA,8,NA,5,NA,0,NA,0,Philippe Sauve,Goalie,3394,134,8,5,2.37,26,20,12,1483,0.917,NA
2003-04,Colorado Avalanche,NHL,17,NA,0,NA,2,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,986,50,2,0,3.04,7,7,3,429,0.896,NA
2003-04,Hershey Bears,AHL,10,NA,0,NA,4,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,578,25,0,2,2.59,3,7,0,252,0.910,NA
2004-05,Mississippi Sea Wolves,ECHL,21,NA,1,NA,4,NA,4,NA,0,NA,0,Philippe Sauve,Goalie,1297,56,2,2,2.59,13,4,4,668,0.923,NA
2005-06,Calgary Flames,NHL,8,NA,0,NA,21,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,402,22,0,0,3.28,3,3,0,180,0.891,NA
2005-06,Phoenix Coyotes,NHL,5,NA,0,NA,0,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,187,17,1,0,5.46,0,4,0,111,0.867,NA
2006-07,San Antonio Rampage,AHL,10,NA,0,NA,0,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,536,34,0,0,3.80,4,5,0,257,0.883,NA
2006-07,Providence Bruins,AHL,23,NA,0,NA,2,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,1292,61,3,1,2.83,10,11,1,492,0.890,NA
2006-07,Boston Bruins,NHL,2,NA,0,NA,0,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,41,4,0,0,5.80,,,,19,0.826,NA
2006-07,Hamilton Bulldogs,AHL,6,NA,1,NA,0,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,325,13,0,1,2.40,2,3,0,141,0.916,NA
2007-08,Iowa Stars,AHL,12,NA,0,NA,4,NA,-,NA,-,NA,-,Philippe Sauve,Goalie,550,39,0,0,4.25,5,5,0,230,0.855,NA
2007-08,Hamburg Freezers,DEL,13,NA,0,NA,0,NA,7,NA,0,NA,0,Philippe Sauve,Goalie,782,38,0,0,2.91,9,3,0,360,0.905,NA
1995-96,Ajax Axemen,OPJHL,3,0,0,0,2,--,,,,,,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Quinte Hawks,MetJHL,48,4,16,20,241,--,,,,,,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,London Knights,OHL,55,0,9,9,205,--,16,0,5,5,25,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,London Knights,OHL,57,8,12,20,208,21,25,5,10,15,38,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,London Knights,OHL,58,12,31,43,177,-17,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Utah Grizzlies,IHL,77,1,8,9,284,-7,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Dallas Stars,NHL,33,0,1,1,62,-8,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Utah Grizzlies,AHL,39,2,6,8,118,1,3,0,0,0,10,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Dallas Stars,NHL,16,2,0,2,29,1,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Utah Grizzlies,AHL,52,2,8,10,274,2,1,0,1,1,15,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Dallas Stars,NHL,32,0,1,1,84,-9,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Utah Grizzlies,AHL,5,0,0,0,18,0,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Houston Aeros,AHL,61,3,7,10,238,-5,5,0,1,1,20,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Dallas Stars,NHL,26,0,0,0,62,-3,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Iowa Stars,AHL,3,0,0,0,6,2,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,New York Islanders,NHL,34,1,0,1,99,-12,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Washington Capitals,NHL,29,1,6,7,69,-13,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Hershey Bears,AHL,4,0,2,2,9,2,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Washington Capitals,NHL,51,2,7,9,96,1,7,0,2,2,6,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Washington Capitals,NHL,52,0,4,4,63,1,12,0,1,1,16,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Washington Capitals,NHL,50,1,5,6,66,16,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Washington Capitals,NHL,73,4,7,11,94,1,9,1,1,2,6,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Washington Capitals,NHL,28,0,2,2,51,3,4,0,1,1,0,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Washington Capitals,NHL,30,3,3,6,34,10,7,0,1,1,4,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Washington Capitals,NHL,37,1,3,4,56,-5,--,--,--,--,--,John Erskine,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Granby Predateurs,QMJHL,70,7,14,21,106,--,5,0,0,0,5,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Cape Breton Screaming Eagles,QMJHL,69,34,42,76,194,--,4,0,0,0,16,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Cape Breton Screaming Eagles,QMJHL,25,8,22,30,60,3,--,--,--,--,--,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Rouyn-Noranda Huskies,QMJHL,38,7,25,32,87,4,11,3,5,8,14,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Montreal Rocket,QMJHL,54,34,47,81,70,15,5,1,1,2,20,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Manitoba Moose,IHL,3,0,1,1,2,0,--,--,--,--,--,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Florida Everblades,ECHL,69,22,18,40,55,6,5,0,1,1,2,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Arkansas RiverBlades,ECHL,8,0,0,0,6,-1,--,--,--,--,--,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Jackson Bandits,ECHL,60,16,21,37,58,-8,9,1,0,1,13,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Jackson Bandits,ECHL,10,0,4,4,19,-4,--,--,--,--,--,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Charlotte Checkers,ECHL,7,0,0,0,0,-4,--,--,--,--,--,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Peoria Rivermen,ECHL,34,15,13,28,36,18,--,--,--,--,--,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Columbus Cottonmouths,ECHL,16,7,5,12,6,4,--,--,--,--,--,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Laval Chiefs,LNAH,2,0,0,0,0,--,,,,,,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Saguenay Fjord,LNAH,20,10,9,19,10,--,,,,,,Randy Copley,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Plymouth Whalers,OHL,21,0,3,3,19,0,--,--,--,--,--,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Windsor Spitfires,OHL,19,1,2,3,14,-4,3,0,1,1,0,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Windsor Spitfires,OHL,6,1,0,1,21,0,--,--,--,--,--,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,London Knights,OHL,55,0,10,10,65,0,--,--,--,--,--,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Worcester IceCats,AHL,2,0,0,0,2,1,--,--,--,--,--,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Rockford IceHogs,UHL,5,0,0,0,10,0,--,--,--,--,--,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Muskegon Fury,UHL,41,3,4,7,43,-2,--,--,--,--,--,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,CSKA Moscow,Russia,2,0,0,0,2,--,,,,,,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Dayton Bombers,ECHL,2,0,0,0,0,0,--,--,--,--,--,Maxim Linnik,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
